iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
-1601812300,13.1,6.76543,-15.5861,-8.08163,-4.31443,-0.221618,-1.32321,-0.247288,-0.169797,1.3006
-1601812299,13.2,6.33284,-15.6091,-8.20743,-4.33643,-0.238625,-1.19269,-0.19272,-0.170151,1.30938
-1601812298,13.3,5.89832,-15.6338,-8.32014,-4.35297,-0.255607,-1.06143,-0.138148,-0.169274,1.31539
-1601812297,13.4,5.46242,-15.6602,-8.4197,-4.36406,-0.27244,-0.929705,-0.0836537,-0.167186,1.31866
-1601812296,13.5,5.02569,-15.6883,-8.50608,-4.36971,-0.289004,-0.797789,-0.0293193,-0.163907,1.31922
-1601812295,13.6,4.58866,-15.718,-8.57926,-4.36993,-0.305182,-0.665951,0.0247738,-0.159462,1.3171
-1601812294,13.7,4.15188,-15.7493,-8.63928,-4.36476,-0.320859,-0.534456,0.0785446,-0.153876,1.31236
-1601812293,13.8,3.71589,-15.7821,-8.68617,-4.35424,-0.33592,-0.403564,0.131913,-0.147178,1.30505
-1601812292,13.9,3.28121,-15.8165,-8.72002,-4.3384,-0.350258,-0.273531,0.184798,-0.1394,1.2952
-1601812291,14,2.84838,-15.8522,-8.74092,-4.3173,-0.363765,-0.144606,0.237121,-0.130575,1.28289
-1601812290,14.1,2.41793,-15.8892,-8.74899,-4.291,-0.376339,-0.0170326,0.288803,-0.12074,1.26817
-1601812289,14.2,1.99036,-15.9274,-8.74438,-4.25956,-0.387881,0.108951,0.339766,-0.109931,1.25111
-1601812288,14.3,1.56618,-15.9667,-8.72726,-4.22307,-0.398295,0.233115,0.389935,-0.0981885,1.23178
-1601812287,14.4,1.14591,-16.007,-8.69782,-4.1816,-0.407489,0.355234,0.439232,-0.0855543,1.21025
-1601812286,14.5,0.730026,-16.0482,-8.65629,-4.13525,-0.415377,0.475093,0.487584,-0.0720716,1.18659
-1601812285,14.6,0.319018,-16.0901,-8.60289,-4.08412,-0.421876,0.592484,0.534916,-0.0577851,1.16088
-1601812284,14.7,-0.0866423,-16.1325,-8.53788,-4.02831,-0.426909,0.707204,0.581157,-0.0427413,1.13321
-1601812283,14.8,-0.486492,-16.1754,-8.46154,-3.96793,-0.430401,0.819064,0.626236,-0.026988,1.10366
-1601812282,14.9,-0.880079,-16.2185,-8.37417,-3.9031,-0.432284,0.927878,0.670082,-0.0105743,1.07232
-1601812281,15,-1.26697,-16.2618,-8.27607,-3.83395,-0.432496,1.03347,0.712629,0.00644956,1.03928
-1601812280,15.1,-1.64673,-16.305,-8.16759,-3.76062,-0.430976,1.13568,0.75381,0.0240322,1.00462
-1601812279,15.2,-2.01896,-16.3479,-8.04905,-3.68324,-0.427672,1.23435,0.79356,0.0421214,0.968449
