iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
242,2.41,0.476013,1.96313,0.490782,-0.579449,0.497248,0.124312,-1.00849,-1.53234,-0.383085
243,2.42,0.470168,1.96802,0.492006,-0.589453,0.481931,0.120483,-0.992217,-1.53113,-0.382784
244,2.43,0.464224,1.97277,0.493192,-0.599292,0.466627,0.116657,-0.975681,-1.52957,-0.382393
245,2.44,0.458183,1.97736,0.494339,-0.608965,0.45134,0.112835,-0.958885,-1.52766,-0.381916
246,2.45,0.452046,1.98179,0.495449,-0.618469,0.436075,0.109019,-0.941838,-1.52541,-0.381351
247,2.46,0.445814,1.98608,0.49652,-0.627801,0.420833,0.105208,-0.924548,-1.52281,-0.380702
248,2.47,0.43949,1.99021,0.497553,-0.636959,0.40562,0.101405,-0.907022,-1.51987,-0.379969
249,2.48,0.433075,1.99419,0.498548,-0.645941,0.390437,0.0976092,-0.889268,-1.51661,-0.379152
250,2.49,0.426572,1.99802,0.499505,-0.654744,0.375288,0.0938221,-0.871295,-1.51302,-0.378255
251,2.5,0.419981,2.0017,0.500424,-0.663366,0.360178,0.0900444,-0.85311,-1.50911,-0.377277
252,2.51,0.413305,2.00522,0.501306,-0.671805,0.345107,0.0862768,-0.834721,-1.50488,-0.376221
