timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2131018911,800000.0,1.0,23745.104,0.0,99942,31276,3547.7976,7963,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2132019531,800000.0,1.0,23678.123,0.0,100360,31276,3548.8242,8010,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2133019867,800000.0,1.0,23798.273,0.0,100779,31276,3596.8674,8056,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2134018880,800000.0,1.0,23687.168,0.0,101196,31276,3553.1753,8102,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2135024279,800000.0,1.0,24025.922,0.0,101619,31276,3545.3638,8148,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2136019386,800000.0,1.0,23711.492,0.0,102030,31276,3674.0334,8194,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2137021145,800000.0,1.0,23715.441,0.0,102449,31276,3427.1506,8240,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2138019285,800000.0,1.0,23632.05,0.0,102865,31276,3669.1394,8286,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2139020848,800000.0,1.0,23787.34,0.0,103284,31276,3555.0046,8332,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2140020777,800000.0,1.0,23597.664,0.0,103699,31276,3545.2825,8378,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2141019891,800000.0,1.0,23689.473,0.0,104117,31276,3549.7773,8424,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2142021267,800000.0,1.0,23619.117,0.0,104535,31276,3547.1567,8471,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2143020877,800000.0,1.0,23956.17,0.0,104954,31276,3598.3733,8517,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2144020995,800000.0,1.0,23704.057,0.0,105371,31276,3555.7085,8563,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2145024190,800000.0,1.0,23720.582,0.0,105793,31276,3547.1147,8609,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2146022159,800000.0,1.0,23633.264,0.0,106207,31276,3554.5356,8655,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2147022327,800000.0,1.0,23763.549,0.0,106625,31276,3555.9326,8701,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2148020743,800000.0,1.0,23668.059,0.0,107037,31276,3555.7085,8747,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2149025986,800000.0,1.0,23721.098,0.0,107460,31276,3554.9656,8793,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2150021476,800000.0,1.0,23704.22,0.0,107872,31276,3579.8047,8839,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2151022770,800000.0,1.0,23801.969,0.0,108295,31276,3548.541,8885,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2152023258,800000.0,1.0,23620.87,0.0,108712,31276,3547.7197,8932,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2153021412,800000.0,1.0,23741.816,0.0,109124,31276,3593.313,8978,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2154022941,800000.0,1.0,23576.123,0.0,109544,31276,3551.9507,9024,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2155023218,800000.0,1.0,23751.055,0.0,109960,31276,3554.063,9069,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2156022191,800000.0,1.0,23600.328,0.0,110377,31276,3546.432,9116,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2157020815,800000.0,1.0,23767.057,0.0,110794,31276,3553.168,9162,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2158025158,800000.0,1.0,23680.68,0.0,111215,31276,3552.3518,9208,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
