timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
154394906,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154498364,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154625208,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154706958,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154838204,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154900998,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
154965223,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155131985,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155242480,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155325285,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155431060,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155537017,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155622389,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155727068,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155836796,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
155878376,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156027105,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156131173,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156237135,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156277917,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156423799,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156528990,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156638479,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156705488,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156838826,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
156937295,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157038625,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157125667,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157232030,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157271636,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157438974,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157522444,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157632562,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157675720,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157821699,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
157925960,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158031502,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158133805,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158238730,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158320246,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158427810,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158492086,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158638791,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158725880,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158767327,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158913852,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
158997246,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159140426,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159185982,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159331769,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159437702,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159497747,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159604140,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159729507,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
