timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
280888907,-0.003537059,0.0012744175,-0.0005362389,5007,0,-0.28686595,-0.28754166,-9.795464,5007,0
280893902,-0.004809737,0.00014355672,-0.0002723763,4995,0,-0.26703766,-0.28888524,-9.777922,4995,0
280898912,-0.0041939723,0.00047360433,0.0014416865,5010,0,-0.2809214,-0.2537696,-9.792906,5010,0
280903906,-0.005895593,0.00011954593,-0.00077887805,4994,0,-0.2691027,-0.30901784,-9.764319,4994,0
280908905,-0.0039203777,0.0015306354,0.00041799276,4999,0,-0.25619075,-0.29227588,-9.80389,4999,0
280913913,-0.005356277,0.00086405594,-0.00029532376,5008,0,-0.261398,-0.2945901,-9.783658,5008,0
280918917,-0.0032117385,0.0009502359,-0.0003332281,5004,0,-0.2568159,-0.270392,-9.763815,5004,0
280923910,-0.0033691043,-8.1125894e-05,0.0012118431,4993,0,-0.2709112,-0.26870316,-9.788918,4993,0
280928911,-0.0040399185,0.0004507827,-0.0011651008,5001,0,-0.2572771,-0.28559738,-9.784895,5001,0
280933913,-0.0047933706,0.0005930981,-0.0005450328,5002,0,-0.24070804,-0.2915469,-9.79159,5002,0
280938913,-0.0047856756,-0.00074645743,0.0002552827,5000,0,-0.27569878,-0.27640888,-9.790926,5000,0
280943918,-0.0046725445,0.0015328988,0.0015272866,5005,0,-0.26801693,-0.28770489,-9.779426,5005,0
280948915,-0.004163478,0.00035850354,8.66502e-05,4997,0,-0.23620084,-0.29941043,-9.783323,4997,0
280953919,-0.0052105645,0.0014279045,-0.000779241,5004,0,-0.2575451,-0.27241662,-9.782723,5004,0
280958918,-0.0044767964,0.0019380124,-0.0012090052,4999,0,-0.2581989,-0.2674017,-9.761684,4999,0
280963919,-0.0039415127,0.00074193324,0.0010242539,5001,0,-0.28314722,-0.30978957,-9.767213,5001,0
280968925,-0.0034888845,0.0007755341,-0.000283733,5006,0,-0.24130274,-0.2919155,-9.780528,5006,0
280973925,-0.004464513,0.0017568945,-0.0006110348,5000,0,-0.25865045,-0.28447998,-9.769917,5000,0
280978923,-0.0044581564,0.0015675109,0.0005622012,4998,0,-0.25345123,-0.30659354,-9.792456,4998,0
280983926,-0.0047245263,-5.949487e-05,-0.00036696406,5003,0,-0.26798746,-0.28708512,-9.801818,5003,0
280988924,-0.00522983,-0.0006662251,-0.00082132465,4998,0,-0.27068275,-0.29316595,-9.763978,4998,0
280993934,-0.0042653605,0.0012053173,0.0004264997,5010,0,-0.27177426,-0.3014566,-9.778309,5010,0
280998935,-0.004256529,0.00040749033,0.00024288139,5001,0,-0.26881108,-0.27860376,-9.79727,5001,0
281003935,-0.0032427283,0.0011978036,0.000102774604,5000,0,-0.25582573,-0.2807517,-9.787659,5000,0
281008931,-0.004178669,0.0007957777,-0.00081613986,4996,0,-0.28100222,-0.28121588,-9.790833,4996,0
281013937,-0.0048811324,0.0014126708,0.0008080546,5006,0,-0.2588756,-0.30454904,-9.765664,5006,0
281018935,-0.0053898366,-0.00018065912,-0.000990354,4998,0,-0.25404596,-0.30559286,-9.780318,4998,0
281023933,-0.0043910635,0.0006093625,0.00031917385,4998,0,-0.25164115,-0.28826895,-9.764899,4998,0
281028934,-0.0038200284,0.0011256712,0.0002125542,5001,0,-0.26677263,-0.29035816,-9.771888,5001,0
281033940,-0.0048820153,0.00012897985,-0.00051023444,5006,0,-0.25517502,-0.27448863,-9.787588,5006,0
281038939,-0.003298335,0.0007872651,-8.390951e-05,4999,0,-0.27110517,-0.29685086,-9.778032,4999,0
281043940,-0.002057755,0.00033564254,-0.00057053176,5001,0,-0.26566696,-0.2898966,-9.775484,5001,0
281048942,-0.004623523,0.0001676363,-0.0005823945,5002,0,-0.24857715,-0.28103024,-9.777391,5002,0
281053948,-0.004076839,0.0005121599,-0.00039372777,5006,0,-0.25508964,-0.27603376,-9.781832,5006,0
281058951,-0.0039641173,0.0008118229,-2.5612786e-05,5003,0,-0.26650295,-0.28216237,-9.774292,5003,0
281063943,-0.0053250096,-0.0003252627,-0.00080475386,4992,0,-0.2898559,-0.27537695,-9.785038,4992,0
281068944,-0.003252912,0.0009823837,-7.715694e-06,5001,0,-0.25229898,-0.26887056,-9.790975,5001,0
281073975,-0.0031211518,0.00032022587,0.00041534856,5031,0,-0.25397092,-0.26076758,-9.757967,5031,0
281078947,-0.0038622762,0.0007197365,7.453242e-05,4972,0,-0.27935022,-0.28269973,-9.777002,4972,0
281083948,-0.003784271,0.0007446723,-0.00020354438,5001,0,-0.28063792,-0.27231696,-9.784583,5001,0
281088966,-0.002903038,8.0905476e-05,0.00015224317,5018,0,-0.26739007,-0.27845803,-9.767063,5018,0
281093950,-0.0052234437,-0.00036088686,0.0005152333,4984,0,-0.2466449,-0.30671695,-9.776704,4984,0
281098955,-0.004695106,0.00037751166,0.0001159345,5005,0,-0.28176627,-0.28729898,-9.7841835,5005,0
281103952,-0.0033850071,0.00014342173,0.0011602124,4997,0,-0.28220233,-0.29424176,-9.779113,4997,0
281108959,-0.0041721934,0.000887848,5.4999123e-06,5007,0,-0.26957157,-0.2919306,-9.78404,5007,0
281114011,-0.0045626853,0.0016086187,-0.0012251115,5052,0,-0.26098222,-0.27373242,-9.783144,5052,0
281118957,-0.0043054353,0.00066273456,-0.00089840055,4946,0,-0.26267424,-0.28233218,-9.780415,4946,0
281123967,-0.0034027505,0.0011668514,0.00050285185,5010,0,-0.269825,-0.2633007,-9.786891,5010,0
281128960,-0.0042539993,0.00066682696,0.0010477785,4993,0,-0.272535,-0.27596745,-9.774634,4993,0
281133960,-0.0029987763,-0.00026234033,0.00034412305,5000,0,-0.28105766,-0.28182134,-9.770963,5000,0
281138959,-0.0033366801,0.00020119478,0.0015276517,4999,0,-0.25580463,-0.26255497,-9.771806,4999,0
281143962,-0.0048010717,0.0008283582,-0.00047739327,5003,0,-0.2554644,-0.29163152,-9.787885,5003,0
281148960,-0.0044685635,0.00022607559,0.00014034266,4998,0,-0.26836756,-0.3099406,-9.789617,4998,0
281153964,-0.0036394787,0.0023828587,0.0015469848,5004,0,-0.26749444,-0.26639137,-9.761439,5004,0
281158967,-0.0037319132,0.00038414315,0.0019980296,5003,0,-0.27070534,-0.3074703,-9.799942,5003,0
281163965,-0.0036818911,0.0016489251,-0.00073310384,4998,0,-0.28307292,-0.28100675,-9.76815,4998,0
281168969,-0.0050912383,0.0016248901,-0.0019535904,5004,0,-0.27023563,-0.27981663,-9.793786,5004,0
281173969,-0.003681641,0.000869059,-0.0005132878,5000,0,-0.26127967,-0.28944516,-9.791476,5000,0
281178971,-0.0015364565,-0.00013105436,-3.6458434e-05,5002,0,-0.2705468,-0.28611946,-9.755828,5002,0
281183970,-0.004118992,-5.3963275e-05,-0.0006382751,4999,0,-0.25160268,-0.26795384,-9.751791,4999,0
281188972,-0.00572926,0.0002693449,-0.00016944643,5002,0,-0.26132703,-0.29096234,-9.79571,5002,0
281193974,-0.0049441736,0.0020091087,-0.0013484816,5002,0,-0.25739986,-0.30223584,-9.787293,5002,0
281198974,-0.0039087455,0.0005496897,8.602799e-05,5000,0,-0.2596987,-0.29188305,-9.780567,5000,0
281203977,-0.00454707,0.0018496109,7.099402e-05,5003,0,-0.25274807,-0.25544223,-9.762104,5003,0
281208985,-0.0048948503,-7.63108e-06,0.00034069156,5008,0,-0.2863405,-0.289565,-9.776928,5008,0
281213979,-0.00491973,0.00010296184,-0.0005160961,4994,0,-0.25417036,-0.27317804,-9.783533,4994,0
281218979,-0.003448824,0.0001618007,0.0016226788,5000,0,-0.280705,-0.28945285,-9.776675,5000,0
281223981,-0.00399379,7.8720395e-06,-0.00066851603,5002,0,-0.26989743,-0.29639134,-9.786637,5002,0
281229024,-0.0028386628,0.0017305381,0.00118821,5043,0,-0.28828108,-0.2866434,-9.760068,5043,0
281233984,-0.0036374272,0.00042886776,0.0012035475,4960,0,-0.2930553,-0.28340727,-9.761851,4960,0
281238984,-0.0050017587,0.0024317615,0.0006134456,5000,0,-0.26724616,-0.27434656,-9.784777,5000,0
281243987,-0.004870514,0.0011821459,0.0009072415,5003,0,-0.29001442,-0.284851,-9.777372,5003,0
281248986,-0.002761368,1.24635635e-05,-0.00055663876,4999,0,-0.2736539,-0.29546198,-9.761597,4999,0
281253989,-0.0040875836,0.0008883765,0.00055732665,5003,0,-0.2633391,-0.28959394,-9.78069,5003,0
281258989,-0.0029787696,-0.00012848446,-0.0012703928,5000,0,-0.2746312,-0.29271126,-9.786334,5000,0
281263989,-0.0040174704,-0.00043135896,0.0002605206,5000,0,-0.24773157,-0.297399,-9.755323,5000,0
281268992,-0.0030974997,0.000446764,0.0018227878,5003,0,-0.24907444,-0.30520603,-9.783792,5003,0
281273992,-0.0044037676,-6.2292595e-05,0.0009301539,5000,0,-0.27366644,-0.27091992,-9.774103,5000,0
281278994,-0.0038528242,0.00092106004,-3.0703955e-06,5002,0,-0.24992886,-0.25831828,-9.771076,5002,0
281283995,-0.0034339582,0.00037868106,-0.0006897608,5001,0,-0.27226052,-0.28380322,-9.75993,5001,0
