timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
145967811,3932170,3932170,4259850,0,0,0.032091577,0.032091625,0.0,0.0,3932170,3932170,4325386,0,0,0.0042773113,0.0042773113,0.0,0.0,1,1,0,0,1,1,0,0
146167939,3932170,3932170,4259850,0,0,0.04698618,0.04698635,0.0,0.0,3932170,3932170,4325386,0,0,0.005576356,0.005576356,0.0,0.0,1,1,0,0,1,1,0,0
146362946,3932170,3932170,4259850,0,0,0.053070758,0.053070825,0.0,0.0,3932170,3932170,4325386,0,0,0.006206849,0.0062068487,0.0,0.0,1,1,0,0,1,1,0,0
146563088,3932170,3932170,4259850,0,0,0.043568112,0.04356812,0.0,0.0,3932170,3932170,4325386,0,0,0.008031948,0.008031948,0.0,0.0,1,1,0,0,1,1,0,0
146763133,3932170,3932170,4259850,0,0,0.020494705,0.020494804,0.0,0.0,3932170,3932170,4325386,0,0,0.0073639927,0.0073639913,0.0,0.0,1,1,0,0,1,1,0,0
146968152,3932170,3932170,4259850,0,0,0.065180734,0.06518085,0.0,0.0,3932170,3932170,4325386,0,0,0.007561783,0.007561782,0.0,0.0,1,1,0,0,1,1,0,0
147168239,3932170,3932170,4259850,0,0,0.045371164,0.045371205,0.0,0.0,3932170,3932170,4325386,0,0,0.011419538,0.011419539,0.0,0.0,1,1,0,0,1,1,0,0
147368379,3932170,3932170,4259850,0,0,0.024573363,0.024573484,0.0,0.0,3932170,3932170,4325386,0,0,0.008043186,0.008043184,0.0,0.0,1,1,0,0,1,1,0,0
147563399,3932170,3932170,4259850,0,0,0.052663554,0.05266352,0.0,0.0,3932170,3932170,4325386,0,0,0.005559493,0.005559494,0.0,0.0,1,1,0,0,1,1,0,0
147763527,3932170,3932170,4259850,0,0,0.034329917,0.03432991,0.0,0.0,3932170,3932170,4325386,0,0,0.004500199,0.0045001986,0.0,0.0,1,1,0,0,1,1,0,0
147963568,3932170,3932170,4259850,0,0,0.05550974,0.055509754,0.0,0.0,3932170,3932170,4325386,0,0,0.004175492,0.0041754916,0.0,0.0,1,1,0,0,1,1,0,0
148163694,3932170,3932170,4259850,0,0,0.07530777,0.0753077,0.0,0.0,3932170,3932170,4325386,0,0,0.004757773,0.004757773,0.0,0.0,1,1,0,0,1,1,0,0
148368798,3932170,3932170,4259850,0,0,0.07886768,0.07886768,0.0,0.0,3932170,3932170,4325386,0,0,0.0037536586,0.00375366,0.0,0.0,1,1,0,0,1,1,0,0
148568835,3932170,3932170,4259850,0,0,0.086022355,0.08602238,0.0,0.0,3932170,3932170,4325386,0,0,0.004896244,0.004896244,0.0,0.0,1,1,0,0,1,1,0,0
148763921,3932170,3932170,4259850,0,0,0.07318886,0.07318886,0.0,0.0,3932170,3932170,4325386,0,0,0.0025435109,0.0025435113,0.0,0.0,1,1,0,0,1,1,0,0
148963941,3932170,3932170,4259850,0,0,0.053012937,0.053012986,0.0,0.0,3932170,3932170,4325386,0,0,0.0051368196,0.00513682,0.0,0.0,1,1,0,0,1,1,0,0
149164084,3932170,3932170,4259850,0,0,0.07169801,0.07169803,0.0,0.0,3932170,3932170,4325386,0,0,0.0028656411,0.0028656449,0.0,0.0,1,1,0,0,1,1,0,0
149364171,3932170,3932170,4259850,0,0,0.09557073,0.09557071,0.0,0.0,3932170,3932170,4325386,0,0,0.0028207756,0.0028207758,0.0,0.0,1,1,0,0,1,1,0,0
149564244,3932170,3932170,4259850,0,0,0.03649905,0.036499076,0.0,0.0,3932170,3932170,4325386,0,0,0.0046830615,0.004683064,0.0,0.0,1,1,0,0,1,1,0,0
149769275,3932170,3932170,4259850,0,0,0.044761688,0.04476167,0.0,0.0,3932170,3932170,4325386,0,0,0.0042890497,0.0042890497,0.0,0.0,1,1,0,0,1,1,0,0
149964428,3932170,3932170,4259850,0,0,0.046989117,0.04698906,0.0,0.0,3932170,3932170,4325386,0,0,0.0029840388,0.0029840386,0.0,0.0,1,1,0,0,1,1,0,0
150164437,3932170,3932170,4259850,0,0,0.039206624,0.039206643,0.0,0.0,3932170,3932170,4325386,0,0,0.014027941,0.014027943,0.0,0.0,1,1,0,0,1,1,0,0
150364502,3932170,3932170,4259850,0,0,0.01959591,0.019595908,0.0,0.0,3932170,3932170,4325386,0,0,0.0063311895,0.0063311886,0.0,0.0,1,1,0,0,1,1,0,0
150564592,3932170,3932170,4259850,0,0,0.02297897,0.02297884,0.0,0.0,3932170,3932170,4325386,0,0,0.0128276935,0.012827694,0.0,0.0,1,1,0,0,1,1,0,0
150764682,3932170,3932170,4259850,0,0,0.050877195,0.050877273,0.0,0.0,3932170,3932170,4325386,0,0,0.014999163,0.014999162,0.0,0.0,1,1,0,0,1,1,0,0
150964821,3932170,3932170,4259850,0,0,0.06209379,0.062093705,0.0,0.0,3932170,3932170,4325386,0,0,0.0020695596,0.0020695599,0.0,0.0,1,1,0,0,1,1,0,0
151164824,3932170,3932170,4259850,0,0,0.03733559,0.037335597,0.0,0.0,3932170,3932170,4325386,0,0,0.009796894,0.009796894,0.0,0.0,1,1,0,0,1,1,0,0
151364894,3932170,3932170,4259850,0,0,0.017073711,0.017073702,0.0,0.0,3932170,3932170,4325386,0,0,0.0047065415,0.004706541,0.0,0.0,1,1,0,0,1,1,0,0
151564983,3932170,3932170,4259850,0,0,0.046476945,0.04647696,0.0,0.0,3932170,3932170,4325386,0,0,0.008623787,0.008623788,0.0,0.0,1,1,0,0,1,1,0,0
151765058,3932170,3932170,4259850,0,0,0.039007064,0.03900707,0.0,0.0,3932170,3932170,4325386,0,0,0.0042888434,0.0042888434,0.0,0.0,1,1,0,0,1,1,0,0
151965216,3932170,3932170,4259850,0,0,0.06304457,0.063044615,0.0,0.0,3932170,3932170,4325386,0,0,0.0036678347,0.003667834,0.0,0.0,1,1,0,0,1,1,0,0
152165254,3932170,3932170,4259850,0,0,0.016638031,0.016638024,0.0,0.0,3932170,3932170,4325386,0,0,0.006293015,0.0062930137,0.0,0.0,1,1,0,0,1,1,0,0
152365344,3932170,3932170,4259850,0,0,0.0559749,0.055974912,0.0,0.0,3932170,3932170,4325386,0,0,0.003353319,0.003353319,0.0,0.0,1,1,0,0,1,1,0,0
152565411,3932170,3932170,4259850,0,0,0.06701903,0.06701908,0.0,0.0,3932170,3932170,4325386,0,0,0.0075321244,0.007532123,0.0,0.0,1,1,0,0,1,1,0,0
152765492,3932170,3932170,4259850,0,0,0.06696158,0.06696164,0.0,0.0,3932170,3932170,4325386,0,0,0.010918101,0.010918102,0.0,0.0,1,1,0,0,1,1,0,0
152965572,3932170,3932170,4259850,0,0,0.039415453,0.039415453,0.0,0.0,3932170,3932170,4325386,0,0,0.002944864,0.0029448604,0.0,0.0,1,1,0,0,1,1,0,0
153165675,3932170,3932170,4259850,0,0,0.070595585,0.07059555,0.0,0.0,3932170,3932170,4325386,0,0,0.011157529,0.011157529,0.0,0.0,1,1,0,0,1,1,0,0
153365694,3932170,3932170,4259850,0,0,0.06082294,0.060822856,0.0,0.0,3932170,3932170,4325386,0,0,0.0014358171,0.0014358166,0.0,0.0,1,1,0,0,1,1,0,0
153565770,3932170,3932170,4259850,0,0,0.03181667,0.031816687,0.0,0.0,3932170,3932170,4325386,0,0,0.003772229,0.0037722283,0.0,0.0,1,1,0,0,1,1,0,0
