timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
442044136,442041194,3932170,7997.867,7.810417,54.67292,78.76831,171.88405,nan,125.630806,nan,nan,nan,85.91459,nan,nan,nan,17.0,10.0,10.0,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,320.0,166.0,195.0
442075541,442073705,3932170,7997.867,7.810417,54.635414,nan,nan,nan,nan,nan,nan,nan,101.53542,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,319.0,157.0,141.0
442140020,442137474,3932170,7997.867,7.810417,62.483337,109.34584,nan,nan,nan,nan,nan,nan,54.67292,100.87129,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,314.0,161.0,189.0
442199679,442198742,3932170,7997.867,7.810417,46.862503,117.15626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,327.0,171.0,181.0
442237329,442233754,3932170,7997.867,7.810417,54.67292,117.15626,132.7771,nan,54.67292,nan,nan,nan,63.147476,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,335.0,161.0,174.0
442298234,442295022,3932170,7997.867,7.810417,39.052086,54.67292,nan,nan,nan,nan,nan,nan,54.67292,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,316.0,168.0,155.0
442333466,442330032,3932170,7997.867,7.810417,93.725006,nan,nan,nan,117.101395,nan,nan,nan,84.822975,79.195786,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,347.0,143.0,195.0
442398319,442393801,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,35.152462,46.862503,102.19956,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,16.0,10.0,nan,330.0,152.0,203.0
442429477,442426315,3932170,7997.867,7.810417,39.052086,nan,nan,nan,54.67292,nan,nan,nan,139.86809,nan,nan,nan,16.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,331.0,140.0,167.0
442492851,442488830,3932170,7997.867,7.810417,nan,nan,nan,nan,63.147476,nan,nan,nan,39.052086,156.87248,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,309.0,150.0,202.0
