timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
323652269,-0.035124123,0.05174451,0.045680553,0.0
323851079,-0.03551249,0.052988105,0.04492542,0.0
324051129,-0.036538124,0.054056276,0.044384394,0.0
324251192,-0.036433425,0.05458571,0.04369784,0.0
324449968,-0.033562947,0.05233525,0.044438194,0.0
324652517,-0.03291143,0.05183863,0.045850303,0.0
324852569,-0.030981375,0.05325653,0.046847258,0.0
325051377,-0.028941657,0.052071523,0.048041902,0.0
325251431,-0.030761203,0.05351956,0.04874392,0.0
325450222,-0.031344686,0.054717243,0.04907673,0.0
325651525,-0.031367067,0.054138575,0.049249854,0.0
325851583,-0.031819787,0.049918555,0.046331238,0.0
326052873,-0.03146741,0.055991393,0.04386021,0.0
326252926,-0.03287046,0.054118924,0.04191657,0.0
326451723,-0.038049117,0.05783995,0.041566804,0.0
326651775,-0.043288574,0.06254316,0.041623417,0.0
326851826,-0.043288574,0.06254316,0.041623417,0.0
327050642,-0.043288574,0.06254316,0.041623417,0.0
327253173,-0.043288574,0.06254316,0.041623417,0.0
327453250,-0.043288574,0.06254316,0.041623417,0.0
327652027,-0.043288574,0.06254316,0.041623417,0.0
327852077,-0.043288574,0.06254316,0.041623417,0.0
328050872,-0.043288574,0.06254316,0.041623417,0.0
328250921,-0.043288574,0.06254316,0.041623417,0.0
328449718,-0.043288574,0.06254316,0.041623417,0.0
328653526,0.0,0.0,0.0,0.0
328852363,0.0,0.0,0.0,0.0
329052376,0.0,0.0,0.0,0.0
329251184,0.0,0.0,0.0,0.0
329451218,0.0,0.0,0.0,0.0
329651267,0.0,0.0,0.0,0.0
329850069,0.0,0.0,0.0,0.0
330053873,0.0,0.0,0.0,0.0
330252686,0.0,0.0,0.0,0.0
330452730,0.0,0.0,0.0,0.0
330651523,0.0,0.0,0.0,0.0
330852826,0.0,0.0,0.0,0.0
331050373,0.0,0.0,0.0,0.0
331250425,0.0,0.0,0.0,0.0
331452973,0.0,0.0,0.0,0.0
331653028,0.0,0.0,0.0,0.0
331853072,0.0,0.0,0.0,0.0
332051884,0.0,0.0,0.0,0.0
332251926,0.0,0.0,0.0,0.0
332450721,0.0,0.0,0.0,0.0
332650767,0.0,0.0,0.0,0.0
332850839,0.0,0.0,0.0,0.0
333053388,0.0,0.0,0.0,0.0
333252172,0.0,0.0,0.0,0.0
333452225,0.0,0.0,0.0,0.0
333651025,0.0,0.0,0.0,0.0
